date,Low,High
5/31/2024,1.081,1.0883
6/03/2024,1.0827,1.0905
6/04/2024,1.0859,1.0917
6/05/2024,1.0854,1.0892
6/06/2024,1.0862,1.0903
6/07/2024,1.0799,1.0903
6/10/2024,1.0732,1.0798
6/11/2024,1.0719,1.0774
6/12/2024,1.0734,1.0853
6/13/2024,1.0732,1.0817
6/14/2024,1.0667,1.0745
6/17/2024,1.0686,1.0739
6/18/2024,1.0709,1.0763
6/19/2024,1.0724,1.0754
6/20/2024,1.0702,1.0749
6/21/2024,1.067,1.0722
6/24/2024,1.0683,1.0747
6/25/2024,1.069,1.0745
6/26/2024,1.0665,1.0719
6/27/2024,1.0677,1.0728
6/28/2024,1.0684,1.0726
7/01/2024,1.072,1.0777
7/02/2024,1.0709,1.0748
7/03/2024,1.0736,1.0818
7/04/2024,1.0783,1.0814
7/05/2024,1.0808,1.0844
7/08/2024,1.0802,1.0846
7/09/2024,1.0805,1.0834
7/10/2024,1.081,1.0831
7/11/2024,1.0827,1.0901
7/12/2024,1.0861,1.0912
7/15/2024,1.0883,1.0923
7/16/2024,1.0871,1.0907
7/17/2024,1.0894,1.0949
7/18/2024,1.0893,1.0942
7/19/2024,1.0875,1.0903
7/22/2024,1.0872,1.0904
7/23/2024,1.0844,1.0898
7/24/2024,1.0825,1.0867
7/25/2024,1.0827,1.0871
7/26/2024,1.0842,1.0869
7/29/2024,1.0803,1.0871
7/30/2024,1.0797,1.0837
7/31/2024,1.0802,1.085
8/01/2024,1.0777,1.0836
8/02/2024,1.0782,1.0926
8/05/2024,1.0892,1.1008
8/06/2024,1.0903,1.0964
8/07/2024,1.0905,1.0936
8/08/2024,1.0882,1.0946
8/09/2024,1.0909,1.0932
8/12/2024,1.0911,1.094
8/13/2024,1.0913,1.1
8/14/2024,1.0984,1.1048
8/15/2024,1.0949,1.1016
8/16/2024,1.097,1.103
8/19/2024,1.1023,1.1087
8/20/2024,1.1071,1.113
8/21/2024,1.11,1.1174
8/22/2024,1.1097,1.1166
8/23/2024,1.1105,1.1201
8/26/2024,1.1151,1.1202
8/27/2024,1.1151,1.1191
8/28/2024,1.1105,1.1187
8/29/2024,1.1055,1.1141
8/30/2024,1.1044,1.1096
9/02/2024,1.1042,1.1078
9/03/2024,1.1026,1.1073
9/04/2024,1.1038,1.1094
9/05/2024,1.1075,1.112
9/06/2024,1.1065,1.1155
9/09/2024,1.1033,1.1092
9/10/2024,1.1015,1.105
9/11/2024,1.1002,1.1054
9/12/2024,1.1005,1.1075
9/13/2024,1.1071,1.1102
9/16/2024,1.1074,1.1138
9/17/2024,1.1111,1.1147
9/18/2024,1.1096,1.1189
9/19/2024,1.1068,1.1179
9/20/2024,1.1136,1.1183
9/23/2024,1.1083,1.1168
9/24/2024,1.1103,1.1181
9/25/2024,1.1122,1.1214
9/26/2024,1.1126,1.1189
9/27/2024,1.1125,1.1203
9/30/2024,1.1113,1.1209
10/01/2024,1.1045,1.1145
10/02/2024,1.1033,1.1084
10/03/2024,1.1008,1.105
10/04/2024,1.0951,1.1041
10/07/2024,1.0955,1.0987
10/08/2024,1.0961,1.0998
10/09/2024,1.0936,1.0982
10/10/2024,1.09,1.0955
10/11/2024,1.0926,1.0954
10/14/2024,1.0888,1.0937
10/15/2024,1.0882,1.0917
10/16/2024,1.0854,1.0902
10/17/2024,1.0811,1.0873
10/18/2024,1.0825,1.0869
10/21/2024,1.0811,1.0873
10/22/2024,1.0793,1.0839
10/23/2024,1.0761,1.0807
10/24/2024,1.077,1.0829
10/25/2024,1.0793,1.084
10/28/2024,1.0782,1.0828
10/29/2024,1.0769,1.0827
10/30/2024,1.0808,1.0871
10/31/2024,1.0844,1.0888
11/01/2024,1.0832,1.0905
11/04/2024,1.0859,1.0915
11/05/2024,1.0872,1.0936
11/06/2024,1.0682,1.0938
11/07/2024,1.0713,1.0825
11/08/2024,1.0687,1.0806
11/11/2024,1.0629,1.0728
11/12/2024,1.0595,1.0664
11/13/2024,1.0556,1.0654
11/14/2024,1.0497,1.0583
11/15/2024,1.0517,1.0593
11/18/2024,1.053,1.0608
11/19/2024,1.0524,1.0602
11/20/2024,1.0508,1.061
11/21/2024,1.0462,1.0556
11/22/2024,1.0334,1.0499
11/25/2024,1.0428,1.053
11/26/2024,1.0425,1.0545
11/27/2024,1.0473,1.0588
11/28/2024,1.0527,1.057
11/29/2024,1.0541,1.0598
12/02/2024,1.046,1.0589
12/03/2024,1.0481,1.0536
12/04/2024,1.0472,1.0545
12/05/2024,1.0507,1.059
12/06/2024,1.0543,1.0631
12/09/2024,1.0532,1.0595
12/10/2024,1.0499,1.0568
12/11/2024,1.048,1.054
12/12/2024,1.0463,1.0531
12/13/2024,1.0453,1.0525
12/16/2024,1.0474,1.0526
12/17/2024,1.0479,1.0535
12/18/2024,1.0344,1.0514
12/19/2024,1.0347,1.0423
12/20/2024,1.0343,1.0448
12/23/2024,1.0383,1.0446
12/24/2024,1.0383,1.0411
12/25/2024,1.0397,1.0415
12/26/2024,1.039,1.043
12/27/2024,1.0405,1.0444
12/30/2024,1.0372,1.0459
12/31/2024,1.0344,1.0425
1/01/2025,1.035,1.036
1/02/2025,1.0225,1.0376
1/03/2025,1.0258,1.031
1/06/2025,1.0295,1.0438
1/07/2025,1.034,1.0436
1/08/2025,1.0274,1.0358
1/09/2025,1.0284,1.0322
1/10/2025,1.0216,1.0313
1/13/2025,1.0178,1.025
1/14/2025,1.0238,1.0309
1/15/2025,1.0259,1.0355
1/16/2025,1.0261,1.0315
1/17/2025,1.0265,1.0331
1/20/2025,1.0266,1.0435
1/21/2025,1.0342,1.0436
1/22/2025,1.0393,1.0458
1/23/2025,1.0372,1.0439
1/24/2025,1.0412,1.0523
1/27/2025,1.0454,1.0534
1/28/2025,1.0414,1.0495
1/29/2025,1.0382,1.0444
1/30/2025,1.0386,1.0468
1/31/2025,1.035,1.0435
2/03/2025,1.0146,1.035
2/04/2025,1.0272,1.0388
2/05/2025,1.037,1.0444
2/06/2025,1.0352,1.0406
2/07/2025,1.0305,1.0412
2/10/2025,1.028,1.0337
2/11/2025,1.0292,1.0381
2/12/2025,1.0317,1.043
2/13/2025,1.0373,1.0467
2/14/2025,1.0446,1.0515
2/17/2025,1.0467,1.0507
2/18/2025,1.0435,1.0488
2/19/2025,1.0401,1.0462
2/20/2025,1.0418,1.0504
2/21/2025,1.0448,1.0507
2/24/2025,1.0453,1.0529
2/25/2025,1.0456,1.052
2/26/2025,1.0475,1.0529
2/27/2025,1.0397,1.0494
2/28/2025,1.036,1.0421
3/03/2025,1.0381,1.0504
3/04/2025,1.0471,1.0628
3/05/2025,1.0602,1.0797
3/06/2025,1.0765,1.0854
3/07/2025,1.0781,1.089
3/10/2025,1.0805,1.0875
3/11/2025,1.0829,1.0947
3/12/2025,1.0875,1.0932
3/13/2025,1.0822,1.0898
3/14/2025,1.083,1.0913
3/17/2025,1.0868,1.093
3/18/2025,1.0892,1.0956
3/19/2025,1.0861,1.0947
3/20/2025,1.0815,1.0918
3/21/2025,1.0797,1.0862
3/24/2025,1.0781,1.0859
3/25/2025,1.0776,1.0831
3/26/2025,1.0744,1.0803
3/27/2025,1.0732,1.0822
3/28/2025,1.0764,1.0845
3/31/2025,1.0784,1.085
4/01/2025,1.0778,1.0831
4/02/2025,1.078,1.0925
4/03/2025,1.0805,1.1146
4/04/2025,1.0924,1.1109
4/07/2025,1.0883,1.1051
4/08/2025,1.0888,1.0993
4/09/2025,1.0913,1.1096
4/10/2025,1.0943,1.1242
4/11/2025,1.1189,1.1475
4/14/2025,1.1282,1.1425
4/15/2025,1.1264,1.1379
4/16/2025,1.1281,1.1413
4/17/2025,1.1336,1.141
4/18/2025,1.1358,1.1399
4/21/2025,1.1388,1.1574
4/22/2025,1.1417,1.1548
4/23/2025,1.1308,1.1441
4/24/2025,1.1313,1.1399
4/25/2025,1.1315,1.1395
4/28/2025,1.1329,1.1425
4/29/2025,1.137,1.1423
4/30/2025,1.1317,1.14
5/01/2025,1.1266,1.1342
5/02/2025,1.1273,1.1381
5/05/2025,1.1292,1.1365
5/06/2025,1.128,1.1382
5/07/2025,1.1292,1.1379
5/08/2025,1.1212,1.1337
5/09/2025,1.1196,1.1293
5/12/2025,1.1065,1.1244
5/13/2025,1.1084,1.1195
5/14/2025,1.1165,1.1266
5/15/2025,1.117,1.1229
5/16/2025,1.113,1.122
5/19/2025,1.117,1.1289
5/20/2025,1.1218,1.1287
5/21/2025,1.128,1.1363
5/22/2025,1.1255,1.1346
5/23/2025,1.1279,1.1376
5/26/2025,1.136,1.1419
5/27/2025,1.1323,1.1408
5/28/2025,1.1283,1.1346
5/29/2025,1.121,1.1385
5/30/2025,1.1313,1.1391
6/02/2025,1.1343,1.1451
6/03/2025,1.1364,1.1456
6/04/2025,1.1357,1.1435
6/05/2025,1.1404,1.1496
6/06/2025,1.137,1.1458
6/09/2025,1.1386,1.1439
6/10/2025,1.1373,1.1449
6/11/2025,1.1405,1.15
6/12/2025,1.1485,1.1632
6/13/2025,1.1489,1.1615
6/16/2025,1.1523,1.1615
6/17/2025,1.1475,1.1578
6/18/2025,1.1461,1.153
6/19/2025,1.1446,1.15
6/20/2025,1.149,1.1544
6/23/2025,1.1452,1.1582
6/24/2025,1.1574,1.1642
6/25/2025,1.159,1.1666
6/26/2025,1.1654,1.1745
6/27/2025,1.1681,1.1755
6/29/2025,1.1722,1.1739
6/30/2025,1.1705,1.1789
7/01/2025,1.1761,1.1831
7/02/2025,1.1747,1.1811
7/03/2025,1.1718,1.1811
7/04/2025,1.1753,1.1788
7/06/2025,1.1774,1.1787
7/07/2025,1.1765,1.1791
